Name,RA_hms,DEC_dms,RA,DEC,us,gs,rs,is,zs,Type,SpType,fname,Gaia_DR3_ID,Variability
BD+661071,18:02:10.92,66:12:26.39,270.5455,66.207331,11.700,10.694,10.472,10.450,10.489,Secondary,F5,V2.SPSS311.ascii,2161721571962091136,Constant
1805292,18:05:29.28,64:27:52.00,271.372,64.464444,13.358,12.236,12.380,12.535,12.654,Primary,A6,V2.SPSS036.ascii,2161093682102883712,Constant
1812095,18:12:09.57,63:29:42.30,273.03987,63.495083,12.929,11.733,11.787,11.911,12.010,Primary,A5,V2.SPSS037.ascii,2160839724980689408,Constant
LTT7379,18:36:25.95,-44:18:36.94,279.10813,-44.310261,11.560,10.482,10.069,9.925,9.955,Primary,G0,V2.SPSS049.ascii,6709878766312642944,Constant
G184-17,18:40:29.27,19:36:06.65,280.12196,19.601847,15.661,14.466,13.832,13.609,13.482,Secondary,K,V2.SPSS259.ascii,4524670913035545344,Constant
WD1845+019,18:47:39.08,01:57:35.62,281.91283,1.9598944,12.489,12.719,13.173,13.395,13.426,Secondary,DA2,V2.SPSS141.ascii,4279269469712040832,
GJ745A,19:07:05.56,20:53:16.97,286.77317,20.888047,14.315,11.591,10.145,9.104,8.544,Secondary,M2,V2.SPSS339.ascii,4519789321942643072,Constant
GJ745B,19:07:13.20,20:52:37.24,286.805,20.877011,14.311,11.589,10.146,9.092,8.531,Secondary,M2,V2.SPSS340.ascii,4519789081415296128,Constant
WD1914-598,19:18:44.84,-59:46:33.80,289.68683,-59.776056,14.284,14.213,14.598,14.885,15.235,Secondary,DA,V2.SPSS262.ascii,6446197877766956800,Constant
EG131,19:20:34.93,-07:40:00.05,290.14554,-7.6666806,12.236,12.218,12.366,12.544,12.779,Primary,DBQA5,V2.SPSS050.ascii,4201781696994073472,Constant
WD1919+145,19:21:40.40,14:40:43.00,290.41833,14.678611,13.123,12.877,13.175,13.467,13.782,Secondary,DA3,V2.SPSS144.ascii,4319908862597055232,Constant
G23-14,19:51:49.61,05:36:45.84,297.95671,5.6127333,12.242,11.071,10.487,10.270,10.161,Secondary,G5,V2.SPSS145.ascii,4296558843393685632,Constant
WD2004-605,20:09:05.24,-60:25:41.60,302.27183,-60.428222,12.695,13.077,13.612,13.970,14.363,Secondary,DA1,V2.SPSS201.ascii,6443328221136801920,Constant
LTT7987,20:10:56.85,-30:13:06.64,302.73687,-30.218511,12.389,12.122,12.435,12.696,13.011,Primary,DA4,V2.SPSS017.ascii,6749419923164242816,Constant
WD2032+248,20:34:21.88,25:03:49.72,308.59117,25.063811,11.332,11.340,11.739,12.075,12.421,Secondary,DA2,V2.SPSS146.ascii,1831553382794173824,
WD2034-532,20:38:16.84,-53:04:25.40,309.57017,-53.073722,14.083,14.212,14.535,14.781,15.045,Secondary,DB4,V2.SPSS266.ascii,6471102606408911360,Constant
G24-25,20:40:16.10,00:33:19.74,310.06708,0.55548333,11.756,10.815,10.398,10.268,10.212,Secondary,G0,V2.SPSS147.ascii,4228176122142169600,Constant
WD2039-682,20:44:21.47,-68:05:21.30,311.08946,-68.08925,13.342,13.198,13.511,13.773,14.101,Secondary,DA3,V2.SPSS204.ascii,6424566979354709248,Constant
WD2047+372,20:49:06.69,37:28:13.90,312.27788,37.470528,13.221,12.915,13.175,13.428,13.726,Secondary,DA3,V2.SPSS149.ascii,1871118140493076224,Constant
WD2111+498,21:12:44.05,50:06:17.80,318.18354,50.104944,12.435,12.783,13.289,13.659,14.030,Secondary,DA1,V2.SPSS205.ascii,2166111956258599680,
WD2105-820,21:13:13.90,-81:49:04.00,318.30792,-81.817778,14.004,13.659,13.741,13.880,14.084,Secondary,DA5,V2.SPSS206.ascii,6348672845649310464,Constant
WD2117+539,21:18:56.27,54:12:41.25,319.73446,54.211458,12.532,12.245,12.541,12.825,13.123,Secondary,DA3,V2.SPSS300.ascii,2176116580055936512,Constant
WD2134+218,21:36:36.30,22:04:33.00,324.15125,22.075833,14.442,14.324,14.666,14.964,15.265,Secondary,DA3,V2.SPSS271.ascii,1793946026371051648,
WD2140+207,21:42:41.00,20:59:58.24,325.67083,20.999511,13.445,13.247,13.253,13.354,13.499,Secondary,DQ6,V2.SPSS211.ascii,1792830060723673472,Constant
G93-48,21:52:25.38,02:23:19.56,328.10575,2.3887667,12.741,12.618,12.966,13.258,13.589,Primary,DA3,V2.SPSS019.ascii,2693940725141960192,
WD2216-657,22:19:48.35,-65:29:18.11,334.95146,-65.488364,14.606,14.485,14.596,14.740,14.940,Secondary,DZ5,V2.SPSS276.ascii,6404417771644764160,Constant
LTT9239,22:52:41.03,-20:35:32.89,343.17096,-20.592469,13.292,12.335,11.895,11.726,11.734,Primary,F,V2.SPSS021.ascii,2398029465700538880,Constant
WD2251-634,22:55:10.00,-63:10:27.00,343.79167,-63.174167,14.041,13.963,14.343,14.612,14.938,Secondary,DA,V2.SPSS279.ascii,6394241555306538240,Constant
WD2309+105,23:12:21.62,10:47:04.25,348.09008,10.784514,12.356,12.803,13.342,13.731,14.122,Secondary,DA1,V2.SPSS305.ascii,2810585920868186240,
Feige110,23:19:58.40,-05:09:56.21,349.99333,-5.1656139,11.140,11.539,12.077,12.443,12.821,Primary,O,V2.SPSS023.ascii,2633603478379307904,Constant
WD2329+407,23:31:35.65,41:01:30.70,352.89854,41.025194,13.948,13.739,14.056,14.345,14.657,Secondary,DA3,V2.SPSS214.ascii,1923682286712356992,
WD2331-475,23:34:02.20,-47:14:26.50,353.50917,-47.240694,12.730,13.140,13.680,14.039,14.345,Secondary,DA1,V2.SPSS215.ascii,6528109879126984960,
WD2352+401,23:54:56.25,40:27:30.10,358.73438,40.458361,15.260,14.992,14.917,14.977,15.137,Secondary,DQ6,V2.SPSS281.ascii,1921351390779081600,Constant
